City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Belmonte,BR,73.17,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
4,Rikitea,PF,71.73,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Mount Isa,AU,89.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
13,Trairi,BR,78.1,overcast clouds,-3.2778,-39.2689,janelas do mar
14,Atuona,PF,77.56,scattered clouds,-9.8,-139.0333,Villa Enata
16,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
19,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
26,Luba,GQ,76.89,light rain,3.4568,8.5547,
28,Gwadar,PK,76.78,clear sky,25.1216,62.3254,Sadaf Resort
31,Kavieng,PG,84.72,broken clouds,-2.5744,150.7967,Nusa Island Retreat
34,Bontang,ID,78.76,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
35,Itarema,BR,78.31,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
39,Tela,HN,76.28,overcast clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
40,Touros,BR,78.4,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
46,Taoudenni,ML,71.58,clear sky,22.6783,-3.9836,
48,Vao,NC,73.15,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
51,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
57,Bandarbeyla,SO,78.42,light rain,9.4942,50.8122,JABIR HOTEL
64,Guayaramerin,BO,75.67,few clouds,-10.8368,-65.3614,Hostal FÜNF
66,Kirakira,SB,82.58,overcast clouds,-10.4544,161.9205,SanBiz Lodge
69,Salalah,OM,74.19,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
75,Isangel,VU,86.11,few clouds,-19.55,169.2667,Tanna Lodge
78,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
85,Hilo,US,77.11,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
88,Ishigaki,JP,80.73,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
93,Yilan,TW,80.46,overcast clouds,24.757,121.753,Dar Chen Hotel
96,Butaritari,KI,81.66,broken clouds,3.0707,172.7902,Isles Sunset Lodge
101,Dingle,PH,83.26,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
104,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
106,Axim,GH,77.25,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
111,Victoria,HK,78.24,overcast clouds,22.2855,114.1577,Mini Central
115,Carnarvon,AU,77.9,clear sky,-24.8667,113.6333,Hospitality Carnarvon
116,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
117,Koundara,GN,70.21,overcast clouds,12.4833,-13.3,Residance B....
121,Flinders,AU,77.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
124,Beitbridge,ZW,81.79,clear sky,-22.2167,30.0,Beitbridge Express Hotel
132,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
136,Hithadhoo,MV,81.14,scattered clouds,-0.6,73.0833,Scoop Guest House
138,Kloulklubed,PW,83.37,few clouds,7.0419,134.2556,Storyboard Beach Resort
145,Bossangoa,CF,70.84,broken clouds,6.4926,17.4552,Hotel du tourisme
147,Manggar,ID,84.78,overcast clouds,-2.8833,108.2667,Guest Hotel
148,Porto Novo,BJ,78.6,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
