City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Belmonte,BR,-15.8631,-38.8828,73.17,90,85,3.31,light rain
1,Mataura,NZ,-46.1927,168.8643,58.48,46,72,3.4,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,44.71,57,40,9.22,scattered clouds
3,Margate,GB,51.3813,1.3862,44.31,94,100,1.01,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,71.73,66,100,10.65,overcast clouds
5,Nanortalik,GL,60.1432,-45.2371,30.34,75,100,4.94,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,44.26,61,40,4.61,scattered clouds
7,Severo-Kurilsk,RU,50.6789,156.125,34.99,66,56,8.5,broken clouds
8,Te Anau,NZ,-45.4167,167.7167,64.74,76,57,2.98,broken clouds
9,Hobart,AU,-42.8794,147.3294,63.27,53,75,17.27,broken clouds
10,Mount Isa,AU,-20.7333,139.5,89.37,48,55,6.91,broken clouds
11,Lebu,CL,-37.6167,-73.65,55.36,84,0,13.51,clear sky
12,Bethel,US,41.3712,-73.414,34.54,65,0,3.44,clear sky
13,Trairi,BR,-3.2778,-39.2689,78.1,80,98,9.55,overcast clouds
14,Atuona,PF,-9.8,-139.0333,77.56,72,26,10.67,scattered clouds
15,Yellowknife,CA,62.456,-114.3525,23.56,74,75,5.75,broken clouds
16,Nanakuli,US,21.3906,-158.1547,84.15,52,0,13.8,clear sky
17,Bukama,CD,-9.2,25.85,67.19,98,99,0.89,overcast clouds
18,Melfi,IT,40.9965,15.6514,56.5,78,54,13.15,broken clouds
19,Georgetown,MY,5.4112,100.3354,82.33,90,20,4.61,few clouds
20,Constitucion,CL,-35.3333,-72.4167,55.31,80,0,15.35,clear sky
21,Paamiut,GL,61.994,-49.6678,22.05,83,100,13.29,overcast clouds
22,Albany,US,42.6001,-73.9662,29.68,60,7,6.55,clear sky
23,Biltine,TD,14.5333,20.9167,68.68,23,7,8.55,clear sky
24,Kodiak,US,57.79,-152.4072,40.51,87,100,13.8,moderate rain
25,Khatanga,RU,71.9667,102.5,-28.37,98,100,2.46,overcast clouds
26,Luba,GQ,3.4568,8.5547,76.89,83,95,7.76,light rain
27,Qaanaaq,GL,77.484,-69.3632,-2.43,56,5,6.89,clear sky
28,Gwadar,PK,25.1216,62.3254,76.78,65,4,5.57,clear sky
29,Norman Wells,CA,65.282,-126.8329,15.84,86,75,3.44,broken clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,69.55,96,92,3.0,overcast clouds
31,Kavieng,PG,-2.5744,150.7967,84.72,64,77,11.56,broken clouds
32,Alamogordo,US,32.8995,-105.9603,42.44,71,100,8.05,overcast clouds
33,Sankt Georgen,HU,47.1425,16.5815,31.14,86,100,2.35,light snow
34,Bontang,ID,0.1333,117.5,78.76,83,100,7.7,overcast clouds
35,Itarema,BR,-2.9248,-39.9167,78.31,82,20,13.94,few clouds
36,Hermanus,ZA,-34.4187,19.2345,49.8,81,18,3.33,few clouds
37,Oranjemund,NA,-28.55,16.4333,57.94,80,62,13.76,broken clouds
38,Gat,IL,31.61,34.7642,65.39,44,0,6.69,clear sky
39,Tela,HN,15.7833,-87.45,76.28,87,100,2.84,overcast clouds
40,Touros,BR,-5.1989,-35.4608,78.4,79,100,12.97,overcast clouds
41,Rajgarh,IN,28.6333,75.3833,62.56,33,85,4.5,overcast clouds
42,Mahebourg,MU,-20.4081,57.7,69.26,88,20,4.61,few clouds
43,Khandyga,RU,62.6667,135.6,-5.67,99,100,3.0,overcast clouds
44,Talnakh,RU,69.4865,88.3972,-9.67,96,100,2.82,overcast clouds
45,Nyandoma,RU,61.669,40.1991,10.83,97,40,2.46,scattered clouds
46,Taoudenni,ML,22.6783,-3.9836,71.58,12,0,9.53,clear sky
47,Castro,BR,-24.7911,-50.0119,54.7,96,10,9.22,clear sky
48,Vao,NC,-22.6667,167.4833,73.15,70,13,9.37,few clouds
49,Half Moon Bay,US,37.4636,-122.4286,59.02,47,0,11.5,clear sky
50,Telfs,AT,47.3,11.0667,41.58,93,99,2.19,overcast clouds
51,Vaini,TO,-21.2,-175.2,82.56,74,75,4.61,broken clouds
52,Aksarka,RU,66.5606,67.7975,-8.27,94,22,3.94,few clouds
53,Karwar,IN,14.8,74.1333,69.87,57,78,9.28,broken clouds
54,Beringovskiy,RU,63.05,179.3167,7.12,89,100,17.22,overcast clouds
55,Codrington,AU,-38.2667,141.9667,61.16,54,9,22.91,light rain
56,Asau,RO,46.4333,26.4,31.28,99,100,2.95,snow
57,Bandarbeyla,SO,9.4942,50.8122,78.42,78,80,16.4,light rain
58,Ponta Do Sol,PT,32.6667,-17.1,65.03,66,48,7.4,scattered clouds
59,Bratsk,RU,56.1325,101.6142,14.49,88,52,8.88,broken clouds
60,Hualmay,PE,-11.0964,-77.6139,64.54,84,100,6.44,overcast clouds
61,Busselton,AU,-33.65,115.3333,61.27,62,100,7.72,overcast clouds
62,Chokurdakh,RU,70.6333,147.9167,-10.44,98,100,9.57,overcast clouds
63,Port Elizabeth,ZA,-33.918,25.5701,57.49,80,0,6.91,clear sky
64,Guayaramerin,BO,-10.8368,-65.3614,75.67,86,20,2.64,few clouds
65,Nikolskoye,RU,59.7035,30.7861,22.91,80,77,8.25,broken clouds
66,Kirakira,SB,-10.4544,161.9205,82.58,79,100,6.73,overcast clouds
67,Umuarama,BR,-23.7664,-53.325,68.52,65,0,8.05,clear sky
68,Saint George,US,37.1041,-113.5841,45.95,34,0,1.01,clear sky
69,Salalah,OM,17.0151,54.0924,74.19,57,4,3.49,clear sky
70,Fergus Falls,US,46.283,-96.0776,6.17,88,0,0.0,clear sky
71,Flin Flon,CA,54.7682,-101.865,14.11,99,100,5.23,overcast clouds
72,Tuatapere,NZ,-46.1333,167.6833,64.36,67,56,7.34,broken clouds
73,La Union,PE,-5.4,-80.75,66.38,73,3,12.39,clear sky
74,Camacupa,AO,-12.0167,17.4833,61.21,95,36,1.21,scattered clouds
75,Isangel,VU,-19.55,169.2667,86.11,70,16,14.97,few clouds
76,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.0,87,100,6.89,overcast clouds
77,Fountain Hills,US,33.6117,-111.7174,65.93,29,2,3.0,clear sky
78,Kapaa,US,22.0752,-159.319,79.12,77,75,17.27,broken clouds
79,Port Lincoln,AU,-34.7333,135.8667,61.5,60,4,29.64,clear sky
80,Koslan,RU,63.4564,48.8989,16.52,94,99,7.85,overcast clouds
81,Geraldton,AU,-28.7667,114.6,70.21,46,0,12.66,clear sky
82,Kaitangata,NZ,-46.2817,169.8464,56.73,83,88,6.15,overcast clouds
83,Buraydah,SA,26.326,43.975,57.65,68,100,8.12,overcast clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,100,12.66,light snow
85,Hilo,US,19.7297,-155.09,77.11,89,17,4.0,few clouds
86,Minas,UY,-34.3759,-55.2377,69.98,74,99,17.96,overcast clouds
87,Nome,US,64.5011,-165.4064,31.15,96,100,4.59,overcast clouds
88,Ishigaki,JP,24.3448,124.1572,80.73,74,20,8.05,few clouds
89,Mount Gambier,AU,-37.8333,140.7667,56.68,77,17,19.24,few clouds
90,Souillac,MU,-20.5167,57.5167,66.58,88,20,4.61,few clouds
