City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2022-11-17 00:10:29,-42.7826,147.0587,56.91,58,97,1.01
1,Taungdwingyi,MM,2022-11-17 00:10:30,20.0167,95.55,68.9,69,14,3.58
2,Maningrida,AU,2022-11-17 00:10:30,-12.0667,134.2667,89.42,56,99,0.85
3,Santo Antonio Do Ica,BR,2022-11-17 00:10:31,-3.1022,-67.9397,75.2,94,95,0.56
4,Mar Del Plata,AR,2022-11-17 00:07:56,-38.0023,-57.5575,67.95,76,69,7.36
5,Russell,US,2022-11-17 00:10:31,32.3502,-85.1999,47.8,54,100,5.91
6,Piacabucu,BR,2022-11-17 00:10:32,-10.4056,-36.4344,76.6,86,66,8.48
7,Cabral,DO,2022-11-17 00:10:32,18.25,-71.2167,77.02,86,7,5.91
8,Vao,NC,2022-11-17 00:10:33,-22.6667,167.4833,76.44,79,97,13.35
9,Tasiilaq,GL,2022-11-17 00:10:34,65.6145,-37.6368,37.56,84,100,22.64
10,Jamestown,US,2022-11-17 00:09:01,42.097,-79.2353,34.02,71,100,16.11
11,Atambua,ID,2022-11-17 00:10:35,-9.1061,124.8925,80.91,68,100,1.68
12,Qasigiannguit,GL,2022-11-17 00:10:35,68.8193,-51.1922,16.05,94,99,5.55
13,Mahebourg,MU,2022-11-17 00:10:36,-20.4081,57.7,67.24,65,0,4.72
14,Dikson,RU,2022-11-17 00:10:36,73.5069,80.5464,-1.41,98,100,13.38
15,Chumikan,RU,2022-11-17 00:10:37,54.7183,135.315,10.22,84,71,13.35
16,Vaini,TO,2022-11-17 00:10:37,-21.2,-175.2,77.05,67,0,0.6
17,Abohar,IN,2022-11-17 00:10:37,30.15,74.1833,59.31,48,0,4.72
18,Atuona,PF,2022-11-17 00:10:38,-9.8,-139.0333,78.1,76,3,14.74
19,Hermanus,ZA,2022-11-17 00:10:38,-34.4187,19.2345,52.81,71,94,4.74
20,Rikitea,PF,2022-11-17 00:10:39,-23.1203,-134.9692,72.95,90,100,26.06
21,Ribeira Grande,PT,2022-11-17 00:10:39,38.5167,-28.7,63.77,64,59,4.0
22,Laela,TZ,2022-11-17 00:10:39,-8.5667,32.05,65.41,74,94,2.95
23,Passos,BR,2022-11-17 00:10:40,-20.7189,-46.6097,72.57,70,71,5.7
24,Kaitangata,NZ,2022-11-17 00:10:40,-46.2817,169.8464,58.24,82,99,4.29
25,Kodinsk,RU,2022-11-17 00:10:41,58.6881,99.1844,29.23,89,99,10.27
26,Busselton,AU,2022-11-17 00:10:41,-33.65,115.3333,59.18,76,41,16.64
27,Butaritari,KI,2022-11-17 00:10:42,3.0707,172.7902,81.07,73,55,18.9
28,Thanh Hoa,VN,2022-11-17 00:10:42,19.8,105.7667,74.66,91,8,1.52
29,Shirokiy,RU,2022-11-17 00:10:43,49.758,129.523,10.58,98,77,3.8
30,Rudsar,IR,2022-11-17 00:10:43,37.1376,50.288,61.05,65,83,4.92
31,Luderitz,NA,2022-11-17 00:10:43,-26.6481,15.1594,60.26,81,11,11.83
32,Bredasdorp,ZA,2022-11-17 00:10:44,-34.5322,20.0403,55.8,69,100,3.85
33,Qaanaaq,GL,2022-11-17 00:10:44,77.484,-69.3632,-3.42,95,100,3.91
34,Sao Joao Da Barra,BR,2022-11-17 00:10:45,-21.6403,-41.0511,71.11,91,100,16.55
35,Thompson,CA,2022-11-17 00:10:45,55.7435,-97.8558,17.76,86,100,10.36
36,Sao Borja,BR,2022-11-17 00:10:45,-28.6606,-56.0044,68.95,51,0,6.11
37,Arraial Do Cabo,BR,2022-11-17 00:10:46,-22.9661,-42.0278,72.36,81,98,14.38
38,Dano,BF,2022-11-17 00:10:46,11.15,-3.0667,73.92,18,83,6.42
39,Punta Arenas,CL,2022-11-17 00:10:47,-53.15,-70.9167,50.11,66,0,9.22
40,Marsala,IT,2022-11-17 00:10:47,37.7966,12.4352,64.94,82,100,22.12
41,Ruteng,ID,2022-11-17 00:10:48,-8.6136,120.4721,69.13,81,99,1.07
42,Cockburn Town,TC,2022-11-17 00:10:48,21.4612,-71.1419,82.09,76,7,17.98
43,Puerto Ayora,EC,2022-11-17 00:10:49,-0.7393,-90.3518,69.55,87,78,5.01
44,Ayia Galini,GR,2022-11-17 00:10:49,35.1,24.6833,59.76,84,8,10.58
45,Manicore,BR,2022-11-17 00:10:50,-5.8092,-61.3003,80.35,73,100,2.71
46,Ponta Do Sol,PT,2022-11-17 00:10:50,32.6667,-17.1,70.72,85,76,7.96
47,Mataura,NZ,2022-11-17 00:10:51,-46.1927,168.8643,58.48,86,100,2.3
48,Hilo,US,2022-11-17 00:10:35,19.7297,-155.09,82.26,85,100,5.75
49,Dauphin,CA,2022-11-17 00:10:16,51.1494,-100.0502,26.74,91,100,9.22
50,Geraldton,AU,2022-11-17 00:11:51,-28.7667,114.6,68.41,60,75,17.27
51,Dzerzhinsk,RU,2022-11-17 00:11:52,56.2389,43.4631,22.82,85,100,4.47
52,Serebryansk,KZ,2022-11-17 00:11:52,49.6925,83.2892,11.28,90,99,1.3
53,Saskylakh,RU,2022-11-17 00:11:53,71.9167,114.0833,-26.55,98,99,4.74
54,Kapaa,US,2022-11-17 00:11:53,22.0752,-159.319,80.58,64,40,10.36
55,Umm Lajj,SA,2022-11-17 00:11:54,25.0213,37.2685,75.02,57,70,9.44
56,Muros,ES,2022-11-17 00:11:54,42.7762,-9.0603,62.1,82,100,14.63
57,Khatanga,RU,2022-11-17 00:11:54,71.9667,102.5,-24.34,100,98,4.92
58,Ambilobe,MG,2022-11-17 00:11:55,-13.2,49.05,72.21,90,78,2.21
59,Tabuk,PH,2022-11-17 00:11:55,17.4189,121.4443,76.39,79,17,1.81
60,Atasu,KZ,2022-11-17 00:11:56,48.6814,71.6433,19.69,91,100,14.76
61,Bowen,AU,2022-11-17 00:11:56,-20.0167,148.2333,83.84,55,77,13.4
62,Zhangye,CN,2022-11-17 00:11:57,38.9342,100.4517,30.88,31,0,4.23
63,Bat Khela,PK,2022-11-17 00:11:57,34.6167,71.9714,52.09,47,0,6.62
64,Ushuaia,AR,2022-11-17 00:11:35,-54.8,-68.3,49.66,62,75,2.3
65,Bambous Virieux,MU,2022-11-17 00:11:14,-20.3428,57.7575,67.21,65,0,4.7
66,Catuday,PH,2022-11-17 00:11:58,16.2923,119.8062,79.2,74,70,10.69
67,San Quintin,MX,2022-11-17 00:11:59,30.4833,-115.95,65.35,42,0,8.12
68,Yar-Sale,RU,2022-11-17 00:11:59,66.8333,70.8333,7.7,94,100,6.93
69,Cidreira,BR,2022-11-17 00:12:00,-30.1811,-50.2056,67.26,61,0,4.38
70,Bar Harbor,US,2022-11-17 00:12:00,44.3876,-68.2039,37.24,89,100,17.0
71,Gamba,GA,2022-11-17 00:12:01,-2.65,10.0,76.06,85,99,8.19
72,Mecca,SA,2022-11-17 00:08:12,21.4267,39.8261,77.9,69,73,2.8
73,Sao Jose Da Coroa Grande,BR,2022-11-17 00:12:01,-8.8978,-35.1478,76.93,83,46,6.71
74,Gizo,SB,2022-11-17 00:12:02,-8.103,156.8419,84.79,65,85,4.83
75,Colquechaca,BO,2022-11-17 00:12:03,-18.6667,-66.0167,41.16,45,39,10.13
76,Pangnirtung,CA,2022-11-17 00:12:04,66.1451,-65.7125,-1.71,83,83,3.65
77,Chokurdakh,RU,2022-11-17 00:12:05,70.6333,147.9167,-22.04,99,97,4.38
78,Malakal,SS,2022-11-17 00:12:05,9.5334,31.6605,75.69,35,18,5.3
79,Sitka,US,2022-11-17 00:12:06,57.0531,-135.33,49.89,76,0,0.0
80,Northam,GB,2022-11-17 00:12:07,51.0333,-4.2167,49.6,92,100,17.9
81,Petropavlovsk-Kamchatskiy,RU,2022-11-17 00:12:07,53.0452,158.6483,16.39,62,0,6.71
82,Namie,JP,2022-11-17 00:12:08,37.4833,141.0,51.71,59,27,9.46
83,Akranes,IS,2022-11-17 00:12:08,64.3218,-22.0749,45.16,75,77,23.87
84,Bluff,NZ,2022-11-17 00:12:09,-46.6,168.3333,58.8,85,99,11.41
85,Ust-Tsilma,RU,2022-11-17 00:12:10,65.441,52.1498,-4.22,100,16,3.83
86,Georgetown,MY,2022-11-17 00:12:11,5.4112,100.3354,81.23,89,20,0.0
87,Lerwick,GB,2022-11-17 00:12:11,60.1545,-1.1494,50.0,89,100,42.28
88,Sobolevo,RU,2022-11-17 00:12:12,54.4299,31.8996,24.69,82,14,6.78
89,Severo-Kurilsk,RU,2022-11-17 00:12:13,50.6789,156.125,35.13,64,76,6.98
90,San Patricio,US,2022-11-17 00:07:35,28.017,-97.5169,51.67,64,100,8.28
91,Bengkulu,ID,2022-11-17 00:09:10,-3.8004,102.2655,74.28,95,100,19.46
92,Nikolskoye,RU,2022-11-17 00:13:14,59.7035,30.7861,31.91,85,100,6.73
93,Samarai,PG,2022-11-17 00:13:15,-10.6167,150.6667,85.86,71,95,14.09
94,Muroto,JP,2022-11-17 00:13:15,33.2833,134.15,61.52,56,97,4.5
95,Saint-Philippe,RE,2022-11-17 00:13:16,-21.3585,55.7679,69.39,74,43,7.56
96,Batagay-Alyta,RU,2022-11-17 00:13:16,67.8006,130.4114,-29.09,92,45,2.8
97,Ishikawa,JP,2022-11-17 00:13:17,26.4233,127.8214,77.32,71,75,11.01
98,Cape Town,ZA,2022-11-17 00:08:50,-33.9258,18.4232,61.27,73,85,11.01
99,Ahipara,NZ,2022-11-17 00:08:32,-35.1667,173.1667,68.99,64,50,7.47
